date,equity
2018-10-10,605002.4905499594
2018-10-11,608333.0771379976
2018-10-14,612965.8468702368
2018-10-15,612942.2072309867
2018-10-21,689932.3526838474
2018-10-22,609828.642019675
2018-10-23,608274.3037803544
2018-10-24,663458.376952854
2018-10-25,607705.0610249706
2018-10-28,601946.8483987745
2018-10-29,600847.7184721082
2018-10-30,601914.1560287961
2018-10-31,603285.1915876615
2018-11-01,602333.5952572245
2018-11-04,595527.1302195195
2018-11-05,654795.9473658566
2018-11-06,727681.0340463703
2018-11-11,595550.3609401024
2018-11-12,592360.7747691738
2018-11-13,596263.5306803918
2018-11-14,597795.5543162117
2018-11-15,595815.584323589
2018-11-18,591876.817470337
2018-11-19,589731.836359555
2018-11-20,584220.5056810286
2018-11-21,585061.7301740184
2018-11-22,583092.8844307741
2018-11-25,633571.1452968058
2018-11-26,620836.2883820719
2018-11-27,630925.5366108746
2018-11-28,573790.0355330756
2018-11-29,568405.2514589018
2018-12-02,561210.40525548
2018-12-03,561109.1706421833
2018-12-04,565795.3183936038
2018-12-05,557829.9195444388
2018-12-06,555371.9884370499
2018-12-09,559210.1168473354
2018-12-10,606924.3678131346
2018-12-11,605689.0166356963
2018-12-12,563778.6575688386
2018-12-13,610909.3581473329
2018-12-16,570980.213105183
2018-12-17,577936.0594862252
2018-12-18,571323.934551333
2018-12-19,570557.4506476669
2018-12-20,573144.7691843108
2018-12-23,585349.2564742287
2018-12-24,585627.580048817
2018-12-25,636871.4045855271
2018-12-26,596564.4358294725
2018-12-27,599028.7629071575
2018-12-30,586504.4482794758
2018-12-31,580754.3559515133
2019-01-01,632653.0148037804
2019-01-02,632392.2935002755
2019-01-03,564323.9539088648
2019-01-06,599407.3763730944
2019-01-07,561037.7577084459
2019-01-08,559253.1939995474
2019-01-09,559261.1090696419
2019-01-10,563452.164770033
2019-01-13,616060.1618088001
2019-01-14,565020.2102553811
2019-01-15,570897.1778495512
2019-01-16,567638.6269616246
2019-01-17,557128.1071866023
2019-01-20,594743.1125283479
2019-01-21,548200.4772604002
2019-01-22,549514.407494982
2019-01-23,551903.8279038105
2019-01-24,551471.4501983268
2019-01-27,547933.6563465493
2019-01-28,549232.1032978258
2019-01-29,588170.957125652
2019-01-30,548668.8895883803
2019-01-31,548590.2214615764
2019-02-03,545146.5534537531
2019-02-04,541167.5631219898
2019-02-05,542043.8053151005
2019-02-06,541223.6437602548
2019-02-07,540228.7433116173
2019-02-10,532839.3016933375
2019-02-11,534278.3142073432
2019-02-12,535397.4596627466
2019-02-13,531653.6737612032
2019-02-14,528583.4131082761
2019-02-17,528169.7188794613
2019-02-18,525180.2735655786
2019-02-19,533187.2853924999
2019-02-20,584980.1109469066
2019-02-21,528699.8694693485
2019-02-24,524551.113205818
2019-02-25,527883.7444935871
2019-02-26,520087.31686541176
2019-02-27,563345.0274629195
2019-03-03,520397.66302754334
2019-03-05,580125.4516170783
2019-03-06,526888.6777468192
2019-03-07,533070.1818655733
2019-03-10,533822.1640821135
2019-03-11,537959.2684224236
2019-03-12,545685.7548899858
2019-03-13,538721.0160209865
2019-03-14,541442.1795669703
2019-03-17,542358.7046158689
2019-03-18,537869.7952599882
2019-03-19,536177.2372060772
2019-03-21,590539.2150030505
2019-03-24,531026.5510681244
2019-03-25,531382.4966679519
2019-03-26,532377.0112625976
2019-03-27,578947.7485014285
2019-03-28,533297.6147979047
2019-03-31,533891.0249672539
2019-04-01,536319.7626968708
2019-04-02,538615.967110368
2019-04-03,537885.2640779206
2019-04-04,539111.1310450676
2019-04-07,542315.2053620656
2019-04-08,548569.7342044293
2019-04-09,544536.2395846569
2019-04-10,545258.1012576912
2019-04-11,547484.4672134691
2019-04-15,608022.1465717199
2019-04-16,558687.6753606948
2019-04-17,560065.2823914114
2019-04-18,568049.0117395947
2019-04-21,579399.7601370662
2019-04-22,578851.9838021195
